asm_name,assembly_accession,assembly_level,bioproject,biosample,ftp_path,gbrs_paired_asm,genome_rep,infraspecific_name,isolate,organism_name,paired_asm_comp,refseq_category,release_type,seq_date,seq_rel_date,species_taxid,submitter,taxid,version_status,wgs_master,OptimumTemperature
ASM22037v1,GCA_000220375.1,Scaffold,PRJNA52647,SAMN01940911,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000220375.1_ASM22037v1,GCF_000220375.1,Full,,,Candidatus Nanosalina sp. J07AB43,identical,na,Major,,2011/07/11,889948,"University of California, San Diego, Scripps Institution of Oceanography",889948,latest,AEIY00000000.1,28.0
ASM22035v1,GCA_000220355.1,Scaffold,PRJNA52645,SAMN01940911,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000220355.1_ASM22035v1,GCF_000220355.1,Full,,,Candidatus Nanosalinarum sp. J07AB56,identical,na,Major,,2011/07/11,889962,"University of California, San Diego, Scripps Institution of Oceanography",889962,latest,AEIX00000000.1,28.0
ASM74548v1,GCA_000745485.1,Scaffold,PRJNA245623,SAMN02910304,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000745485.1_ASM74548v1,GCF_000745485.1,Full,strain=MK4,,Methanobacterium veterum,identical,representative genome,Major,,2014/08/28,408577,DOE Joint Genome Institute,408577,latest,JQJK00000000.1,28.0
ASM74431v1,GCA_000744315.1,Contig,PRJNA210206,SAMN02745719,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000744315.1_ASM74431v1,GCF_000744315.1,Full,strain=SMA-21,,Methanosarcina soligelidi,identical,na,Major,,2014/08/28,1036677,DOE Joint Genome Institute,1036677,latest,JQLR00000000.1,28.0
ASM33709v1,GCA_000337095.1,Contig,PRJNA174923,SAMN02471630,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337095.1_ASM33709v1,GCF_000337095.1,Full,strain=JCM 14848,,Halogeometricum pallidum JCM 14848,identical,representative genome,Major,,2013/02/04,411361,"University of California, Davis",1227487,latest,AOIV00000000.1,30.0
ASM19158v1,GCA_000191585.1,Complete Genome,PRJNA53495,SAMN02232037,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000191585.1_ASM19158v1,GCF_000191585.1,Full,strain=AL-21,,Methanobacterium lacus,identical,representative genome,Major,,2011/03/07,877455,,877455,latest,,30.0
ASM2196v1,GCA_000021965.1,Complete Genome,PRJNA29381,SAMN00001866,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021965.1_ASM2196v1,GCF_000021965.1,Full,strain=E1-9c,,Methanosphaerula palustris E1-9c,identical,representative genome,Major,,2009/01/05,475088,,521011,latest,,30.0
NKMY2,GCA_000685395.1,Contig,PRJNA210247,SAMN02767256,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000685395.1_NKMY2,GCF_000685395.1,Full,strain=MY2,,Thaumarchaeota archaeon MY2,identical,na,Major,,2014/05/07,1353246,Chungbuk National University,1353246,latest,AVSQ00000000.1,30.0
ASM32748v1,GCA_000327485.1,Complete Genome,PRJNA63567,SAMN02232038,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000327485.1_ASM32748v1,GCF_000327485.1,Full,strain=SMSP,,Methanoregula formicica SMSP,identical,representative genome,Major,,2012/12/21,882104,DOE Joint Genome Institute,593750,latest,,32.0
ASM2220v1,GCA_000022205.1,Complete Genome,PRJNA18455,SAMN02598407,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022205.1_ASM2220v1,GCF_000022205.1,Full,strain=ATCC 49239,,Halorubrum lacusprofundi ATCC 49239,identical,representative genome,Major,,2009/02/04,2247,,416348,latest,,34.0
ASM33783v1,GCA_000337835.1,Contig,PRJNA174888,SAMN02471686,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337835.1_ASM33783v1,GCF_000337835.1,Full,strain=ATCC BAA-897,,Haloferax sulfurifontis ATCC BAA-897,identical,na,Major,,2013/02/04,255616,"University of California, Davis",662480,latest,AOLM00000000.1,35.0
ASM21472v1,GCA_000214725.1,Complete Genome,PRJNA53561,SAMN00713630,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000214725.1_ASM21472v1,GCF_000214725.1,Full,strain=SWAN1,,Methanobacterium paludis,identical,representative genome,Major,,2011/05/24,868131,,868131,latest,,35.0
ASM32866v1,GCA_000328665.1,Complete Genome,PRJNA50749,SAMN02261367,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000328665.1_ASM32866v1,GCF_000328665.1,Full,strain=DSM 15978,,Methanomethylovorans hollandica DSM 15978,identical,representative genome,Major,,2012/12/28,101192,JGI,867904,latest,,35.0
ASM1762v1,GCA_000017625.1,Complete Genome,PRJNA18505,SAMN02598409,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017625.1_ASM1762v1,GCF_000017625.1,Full,strain=6A8,,Methanoregula boonei 6A8,identical,representative genome,Major,,2007/07/26,358766,,456442,latest,,35.0
ASM19589v1,GCA_000195895.1,Complete Genome,PRJNA103,SAMN02598252,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000195895.1_ASM19589v1,GCF_000195895.1,Full,strain=Fusaro,,Methanosarcina barkeri str. Fusaro,identical,representative genome,Major,,2005/08/12,2208,,269797,latest,,35.0
ASM706v1,GCA_000007065.1,Complete Genome,PRJNA300,SAMN02603290,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007065.1_ASM706v1,GCF_000007065.1,Full,strain=Go1,,Methanosarcina mazei Go1,identical,representative genome,Major,,2002/05/20,2209,,192952,latest,,35.0
ASM1344v1,GCA_000013445.1,Complete Genome,PRJNA13015,SAMN02598287,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013445.1_ASM1344v1,GCF_000013445.1,Full,strain=JF-1,,Methanospirillum hungatei JF-1,identical,representative genome,Major,,2006/02/17,2203,,323259,latest,,35.0
ASM33755v1,GCA_000337555.1,Contig,PRJNA174930,SAMN02471653,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337555.1_ASM33755v1,GCF_000337555.1,Full,strain=DSM 12278,,Natrialba asiatica DSM 12278,identical,representative genome,Major,,2013/02/04,64602,"University of California, Davis",29540,latest,AOIO00000000.1,35.0
ASM1100v1,GCA_000011005.1,Complete Genome,PRJDA20361,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011005.1_ASM1100v1,GCF_000011005.1,Full,strain=SANAE,,Methanocella paludicola SANAE,identical,representative genome,Major,,2009/12/25,570267,,304371,latest,,36.0
ASM40422v1,GCA_000404225.1,Complete Genome,PRJNA189659,SAMN03081468,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000404225.1_ASM40422v1,GCF_000404225.1,Full,strain=Issoire-Mx1,,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,identical,na,Major,,2013/06/03,1406512,Universite d'Auvergne,1295009,latest,,37.0
ASM30025v2,GCA_000300255.2,Complete Genome,PRJNA175948,SAMN03081445,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000300255.2_ASM30025v2,GCF_000300255.2,Full,strain=Mx1201,,Candidatus Methanomethylophilus alvus Mx1201,identical,na,Major,,2013/04/09,1291540,Université d'Auvergne,1236689,latest,,37.0
HAPD43.1,GCA_000710615.1,Contig,PRJNA236630,SAMN02629026,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000710615.1_HAPD43.1,GCF_000710615.1,Full,strain=D43,,Haladaptatus cibarius D43,identical,representative genome,Major,,2014/06/20,453847,Korea Basic Science Institute,1455608,latest,JDTH00000000.1,37.0
ASM75522v1,GCA_000755225.1,Contig,PRJDB3110,SAMD00019894,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000755225.1_ASM75522v1,GCF_000755225.1,Full,strain=CBA1105,,Halapricum salinum,identical,representative genome,Major,,2014/09/11,1457250,Korea Basic Science Institute,1457250,latest,BBMO00000000.1,37.0
ASM47423v1,GCA_000474235.1,Contig,PRJDB708,SAMD00036764,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000474235.1_ASM47423v1,GCF_000474235.1,Full,strain=JCM 16109,,Halarchaeum acidiphilum MH1-52-1,identical,representative genome,Major,,2013/09/13,489138,Japan Agency for Marine-Earth Science and Technology,1261545,latest,BATA00000000.1,37.0
ASM33775v1,GCA_000337755.1,Contig,PRJNA174882,SAMN02471658,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337755.1_ASM33775v1,GCF_000337755.1,Full,strain=ATCC 33799,,Haloarcula californiae ATCC 33799,identical,na,Major,,2013/02/04,244363,"University of California, Davis",662475,latest,AOLS00000000.1,37.0
ASM22390v1,GCA_000223905.1,Complete Genome,PRJNA68523,SAMN02602960,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000223905.1_ASM22390v1,GCF_000223905.1,Full,strain=CGMCC 1.2049,,Haloarcula hispanica ATCC 33960,identical,representative genome,Major,,2011/08/17,51589,,634497,latest,,37.0
ASM33727v1,GCA_000337275.1,Contig,PRJNA174883,SAMN02471645,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337275.1_ASM33727v1,GCF_000337275.1,Full,strain=ATCC 33800,,Haloarcula sinaiiensis ATCC 33800,identical,na,Major,,2013/02/04,35742,"University of California, Davis",662476,latest,AOLR00000000.1,37.0
ASM33777v1,GCA_000337775.1,Contig,PRJNA174884,SAMN02471656,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337775.1_ASM33777v1,GCF_000337775.1,Full,strain=ATCC 29715,,Haloarcula vallismortis ATCC 29715,identical,representative genome,Major,,2013/02/04,28442,"University of California, Davis",662477,latest,AOLQ00000000.1,37.0
ASM73957v1,GCA_000739575.1,Contig,PRJDB2989,SAMD00018744,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000739575.1_ASM73957v1,GCF_000739575.1,Full,strain=CBA1103,,Halobellus rufus,identical,representative genome,Major,,2014/07/31,1448860,Korea Basic Science Institute,1448860,latest,BBJO00000000.1,37.0
ASM33667v1,GCA_000336675.1,Contig,PRJNA174896,SAMN02471661,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336675.1_ASM33667v1,GCF_000336675.1,Full,strain=100A6,,Halococcus hamelinensis 100A6,identical,representative genome,Major,,2013/02/04,332168,"University of California, Davis",1132509,latest,AOMB00000000.1,37.0
ASM33669v1,GCA_000336695.1,Contig,PRJNA174897,SAMN02471675,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336695.1_ASM33669v1,GCF_000336695.1,Full,strain=DSM 1307,,Halococcus morrhuae DSM 1307,identical,representative genome,Major,,2013/02/04,2250,"University of California, Davis",931277,latest,AOMC00000000.1,37.0
ASM33691v1,GCA_000336915.1,Contig,PRJNA174898,SAMN02471639,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336915.1_ASM33691v1,GCF_000336915.1,Full,strain=DSM 5350,,Halococcus saccharolyticus DSM 5350,identical,representative genome,Major,,2013/02/04,62319,"University of California, Davis",1227455,latest,AOMD00000000.1,37.0
ASM75524v1,GCA_000755245.1,Contig,PRJDB3111,SAMD00019895,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000755245.1_ASM75524v1,GCF_000755245.1,Full,strain=CBA1101,,Halococcus sediminicola,identical,representative genome,Major,,2014/09/11,1264579,Korea Basic Science Institute,1264579,latest,BBMP00000000.1,37.0
ASM33671v1,GCA_000336715.1,Contig,PRJNA174900,SAMN02471640,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336715.1_ASM33671v1,GCF_000336715.1,Full,strain=JCM 13552,,Halococcus thailandensis JCM 13552,identical,representative genome,Major,,2013/02/04,335952,"University of California, Davis",1227457,latest,AOMF00000000.1,37.0
PRJEB5511_assembly_1,GCA_000723845.1,Scaffold,PRJEB5511,SAMEA3139050,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000723845.1_PRJEB5511_assembly_1,GCF_000723845.1,Full,strain=Arc-Hr,,Haloferax alexandrinus,identical,na,Major,,2014/06/12,114529,URMITE,114529,latest,CCDK000000000.1,37.0
ASM33779v1,GCA_000337795.1,Contig,PRJNA174885,SAMN02471644,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337795.1_ASM33779v1,GCF_000337795.1,Full,strain=ATCC 35960,,Haloferax denitrificans ATCC 35960,identical,na,Major,,2013/02/04,35745,"University of California, Davis",662478,latest,AOLP00000000.1,37.0
ASM119096v1,GCA_001190965.1,Complete Genome,PRJNA285662,SAMN03755233,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001190965.1_ASM119096v1,GCF_001190965.1,Full,strain=ARA6,,Haloferax gibbonsii,identical,na,Major,,2015/08/03,35746,Universidade do Estado do Rio de Janeiro,35746,latest,,37.0
ASM33679v1,GCA_000336795.1,Contig,PRJNA174905,SAMN02471684,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336795.1_ASM33679v1,GCF_000336795.1,Full,strain=DSM 14919,,Haloferax lucentense DSM 14919,identical,na,Major,,2013/02/04,2254,"University of California, Davis",1230452,latest,AOLH00000000.1,37.0
ASM33697v1,GCA_000336975.1,Contig,PRJNA174907,SAMN02471677,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336975.1_ASM33697v1,GCF_000336975.1,Full,strain=ATCC BAA-644,,Haloferax sp. ATCC BAA-644,identical,na,Major,,2013/02/04,1227462,"University of California, Davis",1227462,latest,AOLF00000000.1,37.0
162.HSB1.1,GCA_000283335.1,Contig,PRJNA170600,SAMN02470186,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283335.1_162.HSB1.1,GCF_000283335.1,Full,strain=B-1,,Halogranum salarium B-1,identical,representative genome,Major,,2012/08/03,693851,Korea Research Institute of Bioscience and Biotechnology,1210908,latest,ALJD00000000.1,37.0
ASM73955v1,GCA_000739555.1,Contig,PRJDB2988,SAMD00018743,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000739555.1_ASM73955v1,GCF_000739555.1,Full,strain=CBA1107,,Halolamina rubra,identical,representative genome,Major,,2014/07/31,1380430,Korea Basic Science Institute,1380430,latest,BBJN00000000.1,37.0
ASM21771v1,GCA_000217715.1,Complete Genome,PRJNA56049,SAMN02232028,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000217715.1_ASM21771v1,GCF_000217715.1,Full,strain=SH-6,,Halopiger xanaduensis SH-6,identical,representative genome,Major,,2011/06/09,387343,,797210,latest,,37.0
ASM21771v1,GCA_000217715.1,Complete Genome,PRJNA56049,SAMN02232028,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000217715.1_ASM21771v1,GCF_000217715.1,Full,strain=SH-6,,Halopiger xanaduensis SH-6,identical,representative genome,Major,,2011/06/09,387343,,797210,latest,,37.0
ASM918v1,GCA_000009185.1,Complete Genome,PRJNA17185,SAMEA3138195,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009185.1_ASM918v1,GCF_000009185.1,Full,strain=DSM 16790 = HBSQ001,,Haloquadratum walsbyi DSM 16790,identical,na,Major,,2006/06/22,293091,,362976,latest,,37.0
ASM33687v1,GCA_000336875.1,Contig,PRJNA174912,SAMN02471648,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336875.1_ASM33687v1,GCF_000336875.1,Full,strain=DSM 19288,,Halorubrum californiensis DSM 19288,identical,na,Major,,2013/02/04,416585,"University of California, Davis",1227465,latest,AOJK00000000.1,37.0
ASM33703v1,GCA_000337035.1,Contig,PRJNA174913,SAMN02471634,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337035.1_ASM33703v1,GCF_000337035.1,Full,strain=DSM 10284,,Halorubrum coriense DSM 10284,identical,representative genome,Major,,2013/02/04,64713,"University of California, Davis",1227466,latest,AOJL00000000.1,37.0
ASM73959v1,GCA_000739595.1,Contig,PRJDB2990,SAMD00018745,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000739595.1_ASM73959v1,GCF_000739595.1,Full,strain=B8,,Halorubrum halophilum,identical,representative genome,Major,,2014/07/31,413816,Korea Basic Science Institute,413816,latest,BBJP00000000.1,37.0
ASM33707v1,GCA_000337075.1,Contig,PRJNA174916,SAMN02471650,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337075.1_ASM33707v1,GCF_000337075.1,Full,strain=ATCC 700873,,Halorubrum hochstenium ATCC 700873,identical,representative genome,Major,,2013/02/04,1227480,"University of California, Davis",1227481,latest,AOJO00000000.1,37.0
ASM33735v1,GCA_000337355.1,Contig,PRJNA174917,SAMN02471633,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337355.1_ASM33735v1,GCF_000337355.1,Full,strain=JCM 14978,,Halorubrum kocurii JCM 14978,identical,representative genome,Major,,2013/02/04,478441,"University of California, Davis",1230456,latest,AOJH00000000.1,37.0
ASM51762v1,GCA_000517625.1,Complete Genome,PRJNA71415,SAMN00117518,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000517625.1_ASM51762v1,GCF_000517625.1,Full,strain=XH-48,,Halostagnicola larsenii XH-48,identical,representative genome,Major,,2014/01/13,353800,JGI,797299,latest,,37.0
ASM33749v1,GCA_000337495.1,Contig,PRJNA174926,SAMN02471629,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337495.1_ASM33749v1,GCF_000337495.1,Full,strain=JCM 13891,,Haloterrigena salina JCM 13891,identical,na,Major,,2013/02/04,504937,"University of California, Davis",1227488,latest,AOIS00000000.1,37.0
ASM33751v1,GCA_000337515.1,Contig,PRJNA174928,SAMN02471651,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337515.1_ASM33751v1,GCF_000337515.1,Full,strain=JCM 14624,,Halovivax asiaticus JCM 14624,identical,na,Major,,2013/02/04,332953,"University of California, Davis",1227490,latest,AOIQ00000000.1,37.0
ASM32852v1,GCA_000328525.1,Complete Genome,PRJNA59897,SAMN02232030,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000328525.1_ASM32852v1,GCF_000328525.1,Full,strain=XH-70,,Halovivax ruber XH-70,identical,representative genome,Major,,2012/12/27,387341,DOE Joint Genome Institute,797302,latest,,37.0
ASM74607v1,GCA_000746075.1,Scaffold,PRJNA245621,SAMN02910397,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000746075.1_ASM74607v1,GCF_000746075.1,Full,strain=M2,,Methanobacterium arcticum,identical,na,Major,,2014/08/28,386456,DOE Joint Genome Institute,386456,latest,JQKN00000000.1,37.0
ASM76226v1,GCA_000762265.1,Complete Genome,PRJNA49593,SAMN03085433,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000762265.1_ASM76226v1,GCF_000762265.1,Full,strain=BRM9,,Methanobacterium formicicum,identical,representative genome,Major,,2014/10/02,2162,PGgRc,2162,latest,,37.0
ANOR1,GCA_000513315.1,Scaffold,PRJEB4586,SAMEA3138839,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000513315.1_ANOR1,GCF_000513315.1,Full,strain=ANOR1,,Methanobrevibacter arboriphilus ANOR1,identical,representative genome,Major,,2013/12/19,39441,URMITE,1401244,latest,CBVX000000000.1,37.0
Methanobrevibacter oralis JMR01,GCA_000529525.1,Scaffold,PRJEB4880,SAMEA3138857,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000529525.1_Methanobrevibacter_oralis_JMR01,GCF_000529525.1,Full,strain=JMR01,,Methanobrevibacter oralis JMR01,identical,representative genome,Major,,2014/01/15,66851,URMITE,1415626,latest,CBWS000000000.1,37.0
ASM1652v1,GCA_000016525.1,Complete Genome,PRJNA18653,SAMN02604313,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016525.1_ASM1652v1,GCF_000016525.1,Full,strain=ATCC 35061; PS; DSMZ 861,,Methanobrevibacter smithii ATCC 35061,identical,representative genome,Major,,2007/06/04,2173,,420247,latest,,37.0
ASM62196v1,GCA_000621965.1,Scaffold,PRJNA223477,SAMN02744021,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000621965.1_ASM62196v1,GCF_000621965.1,Full,strain=SH,,Methanobrevibacter wolinii SH,identical,representative genome,Major,,2014/04/08,190977,DOE Joint Genome Institute,1410664,latest,JHWX00000000.1,37.0
ASM43090v1,GCA_000430905.1,Scaffold,PRJNA188868,SAMN02441137,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000430905.1_ASM43090v1,GCF_000430905.1,Full,strain=DSM 4179,,Methanocorpusculum bavaricum DSM 4179,identical,representative genome,Major,,2013/07/16,71518,DOE Joint Genome Institute,1122230,latest,AUMX00000000.1,37.0
ASM1576v1,GCA_000015765.1,Complete Genome,PRJNA18109,SAMN00623052,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015765.1_ASM1576v1,GCF_000015765.1,Full,strain=Z,,Methanocorpusculum labreanum Z,identical,representative genome,Major,,2007/02/01,83984,,410358,latest,,37.0
Mb_MS2,GCA_000304355.2,Complete Genome,PRJEB167,SAMEA2272323,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000304355.2_Mb_MS2,GCF_000304355.2,Full,strain=MS2T,,Methanoculleus bourgensis MS2,identical,na,Major,,2014/02/04,83986,irena.maus,1201294,latest,,37.0
ASM2586v1,GCA_000025865.1,Complete Genome,PRJNA30711,SAMN02598474,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025865.1_ASM2586v1,GCF_000025865.1,Full,strain=DSM 5219,,Methanohalophilus mahii DSM 5219,identical,representative genome,Major,,2010/03/31,2176,,547558,latest,,37.0
ASM30821v1,GCA_000308215.1,Contig,PRJNA159487,SAMEA3138426,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000308215.1_ASM30821v1,GCF_000308215.1,Full,strain=B10,,Methanomassiliicoccus luminyensis B10,identical,representative genome,Major,,2012/06/06,1080712,URMITE,1175296,latest,CAJE00000000.1,37.0
ASM14787v1,GCA_000147875.1,Complete Genome,PRJNA40773,SAMN00017400,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000147875.1_ASM14787v1,GCF_000147875.1,Full,,,Methanolacinia petrolearia DSM 11571,identical,representative genome,Major,,2010/09/17,54120,,679926,latest,,37.0
ASM20441v1,GCA_000204415.1,Complete Genome,PRJNA63185,SAMN02604263,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000204415.1_ASM20441v1,GCF_000204415.1,Full,strain=GP6,,Methanosaeta concilii GP6,identical,representative genome,Major,,2011/04/15,2223,,990316,latest,,37.0
ASM23556v1,GCA_000235565.1,Complete Genome,PRJNA76151,SAMN02603883,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000235565.1_ASM23556v1,GCF_000235565.1,Full,strain=6Ac,,Methanosaeta harundinacea 6Ac,identical,representative genome,Major,,2011/11/16,301375,,1110509,latest,,37.0
ASM33759v1,GCA_000337595.1,Contig,PRJNA174933,SAMN02471680,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337595.1_ASM33759v1,GCF_000337595.1,Full,strain=DSM 12281,,Natrialba taiwanensis DSM 12281,identical,na,Major,,2013/02/04,160846,"University of California, Davis",1230458,latest,AOIL00000000.1,37.0
ASM73198v1,GCA_000731985.1,Contig,PRJNA248700,SAMN02800870,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000731985.1_ASM73198v1,GCF_000731985.1,Full,strain=AJ2,,Natrinema altunense,identical,representative genome,Major,,2014/07/21,222984,Zhejiang University,222984,latest,JNCS00000000.1,37.0
ASM23073v3,GCA_000230735.3,Complete Genome,PRJNA52951,SAMN02261373,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000230735.3_ASM23073v3,GCF_000230735.2,Full,strain=DSM 15624,,Natrinema pellirubrum DSM 15624,identical,representative genome,Major,,2012/12/27,69525,JGI,797303,latest,,37.0
