assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCA_000189975.2	PRJNA59667	SAMN02436673	AELT00000000.1	na	911125	2173	Methanobrevibacter smithii TS147C	strain=TS147C		latest	Contig	Major	Full	2011/02/17	ASM18997v2	Washington University in St.Louis	GCF_000189975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189975.2_ASM18997v2
GCA_000189855.2	PRJNA59645	SAMN02436665	AELN00000000.1	na	911119	2173	Methanobrevibacter smithii TS146B	strain=TS146B		latest	Contig	Major	Full	2011/02/17	ASM18985v2	Washington University in St.Louis	GCF_000189855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189855.2_ASM18985v2
GCA_000189795.2	PRJNA59547	SAMN02436678	AEKU00000000.1	na	911116	2173	Methanobrevibacter smithii TS145A	strain=TS145A		latest	Contig	Major	Full	2011/02/17	ASM18979v2	Washington University in St.Louis	GCF_000189795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189795.2_ASM18979v2
GCA_000190075.2	PRJNA59677	SAMN02436677	AELY00000000.1	na	911130	2173	Methanobrevibacter smithii TS95B	strain=TS95B		latest	Contig	Major	Full	2011/02/17	ASM19007v2	Washington University in St.Louis	GCF_000190075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190075.2_ASM19007v2
GCA_000190155.2	PRJNA59685	SAMN02436681	AEMC00000000.1	na	911134	2173	Methanobrevibacter smithii TS96B	strain=TS96B		latest	Contig	Major	Full	2011/02/17	ASM19015v2	Washington University in St.Louis	GCF_000190155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190155.2_ASM19015v2
GCA_000189995.2	PRJNA59669	SAMN02436680	AELU00000000.1	na	911126	2173	Methanobrevibacter smithii TS94A	strain=TS94A		latest	Contig	Major	Full	2011/02/17	ASM18999v2	Washington University in St.Louis	GCF_000189995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189995.2_ASM18999v2
GCA_000190135.2	PRJNA59683	SAMN02436671	AEMB00000000.1	na	911133	2173	Methanobrevibacter smithii TS96A	strain=TS96A		latest	Contig	Major	Full	2011/02/17	ASM19013v2	Washington University in St.Louis	GCF_000190135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190135.2_ASM19013v2
GCA_000190035.2	PRJNA59693	SAMN02436675	AELW00000000.1	na	911128	2173	Methanobrevibacter smithii TS94C	strain=TS94C		latest	Contig	Major	Full	2011/02/17	ASM19003v2	Washington University in St.Louis	GCF_000190035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190035.2_ASM19003v2
GCA_000189815.2	PRJNA59641	SAMN02436664	AELL00000000.1	na	911117	2173	Methanobrevibacter smithii TS145B	strain=TS145B		latest	Contig	Major	Full	2011/02/17	ASM18981v2	Washington University in St.Louis	GCF_000189815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189815.2_ASM18981v2
GCA_000190055.2	PRJNA59675	SAMN02436676	AELX00000000.1	na	911129	2173	Methanobrevibacter smithii TS95A	strain=TS95A		latest	Contig	Major	Full	2011/02/17	ASM19005v2	Washington University in St.Louis	GCF_000190055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190055.2_ASM19005v2
GCA_000190015.2	PRJNA59671	SAMN02436674	AELV00000000.1	na	911127	2173	Methanobrevibacter smithii TS94B	strain=TS94B		latest	Contig	Major	Full	2011/02/17	ASM19001v2	Washington University in St.Louis	GCF_000190015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190015.2_ASM19001v2
GCA_000190115.2	PRJNA59681	SAMN02436670	AEMA00000000.1	na	911132	2173	Methanobrevibacter smithii TS95D	strain=TS95D		latest	Contig	Major	Full	2011/02/17	ASM19011v2	Washington University in St.Louis	GCF_000190115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190115.2_ASM19011v2
GCA_000189935.2	PRJNA59663	SAMN02436667	AELR00000000.1	na	911123	2173	Methanobrevibacter smithii TS147A	strain=TS147A		latest	Contig	Major	Full	2011/02/17	ASM18993v2	Washington University in St.Louis	GCF_000189935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189935.2_ASM18993v2
GCA_000189915.2	PRJNA59659	SAMN02436683	AELQ00000000.1	na	911122	2173	Methanobrevibacter smithii TS146E	strain=TS146E		latest	Contig	Major	Full	2011/02/17	ASM18991v2	Washington University in St.Louis	GCF_000189915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189915.2_ASM18991v2
GCA_000189835.2	PRJNA59643	SAMN02436679	AELM00000000.1	na	911118	2173	Methanobrevibacter smithii TS146A	strain=TS146A		latest	Contig	Major	Full	2011/02/17	ASM18983v2	Washington University in St.Louis	GCF_000189835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189835.2_ASM18983v2
GCA_000189875.2	PRJNA59649	SAMN02436682	AELO00000000.1	na	911120	2173	Methanobrevibacter smithii TS146C	strain=TS146C		latest	Contig	Major	Full	2011/02/17	ASM18987v2	Washington University in St.Louis	GCF_000189875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189875.2_ASM18987v2
GCA_000190175.2	PRJNA59687	SAMN02436672	AEMD00000000.1	na	911135	2173	Methanobrevibacter smithii TS96C	strain=TS96C		latest	Contig	Major	Full	2011/02/17	ASM19017v2	Washington University in St.Louis	GCF_000190175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190175.2_ASM19017v2
GCA_000025865.1	PRJNA30711	SAMN02598474		representative genome	547558	2176	Methanohalophilus mahii DSM 5219	strain=DSM 5219		latest	Complete Genome	Major	Full	2010/03/31	ASM2586v1		GCF_000025865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025865.1_ASM2586v1
GCA_000166095.1	PRJNA33689	SAMN02232040		representative genome	523846	2180	Methanothermus fervidus DSM 2088	strain=DSM 2088		latest	Complete Genome	Major	Full	2010/11/05	ASM16609v1		GCF_000166095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000166095.1_ASM16609v1
GCA_000376965.1	PRJNA182394	SAMN02440415	AQXV00000000.1	representative genome	523845	2186	Methanothermococcus thermolithotrophicus DSM 2095	strain=DSM 2095		latest	Contig	Major	Full	2013/04/22	ASM37696v1	DOE Joint Genome Institute	GCF_000376965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000376965.1_ASM37696v1
GCA_000017165.1	PRJNA17889	SAMN02598403		representative genome	406327	2187	Methanococcus vannielii SB	strain=SB		latest	Complete Genome	Major	Full	2007/06/29	ASM1716v1		GCF_000017165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017165.1_ASM1716v1
GCA_000006175.2	PRJNA20131	SAMN00000040		representative genome	456320	2188	Methanococcus voltae A3	strain=A3		latest	Complete Genome	Major	Full	2010/06/03	ASM617v2		GCF_000006175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006175.2_ASM617v2
GCA_000214415.1	PRJNA51821	SAMN00713627		representative genome	880724	2189	Methanotorris igneus Kol 5	strain=Kol 5		latest	Complete Genome	Major	Full	2011/05/23	ASM21441v1		GCF_000214415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000214415.1_ASM21441v1
GCA_000091665.1	PRJNA102	SAMN02603984		representative genome	243232	2190	Methanocaldococcus jannaschii DSM 2661	strain=DSM 2661		latest	Complete Genome	Major	Full	1999/12/22	ASM9166v1	TIGR	GCF_000091665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000091665.1_ASM9166v1
GCA_000015825.1	PRJNA16330	SAMN02598365		representative genome	368407	2198	Methanoculleus marisnigri JR1	strain=JR1		latest	Complete Genome	Major	Full	2007/02/16	ASM1582v1		GCF_000015825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015825.1_ASM1582v1
GCA_000275865.1	PRJNA52839	SAMN02256542	AGCO00000000.1	representative genome	28892	2201	Methanofollis liminatans DSM 4140	strain=DSM 4140		latest	Chromosome	Major	Full	2012/07/13	ASM27586v1	DOE Joint Genome Institute	GCF_000275865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000275865.1_ASM27586v1
GCA_000013445.1	PRJNA13015	SAMN02598287		representative genome	323259	2203	Methanospirillum hungatei JF-1	strain=JF-1		latest	Complete Genome	Major	Full	2006/02/17	ASM1344v1		GCF_000013445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013445.1_ASM1344v1
GCA_000711215.1	PRJNA223456	SAMN02745537	JOMF00000000.1	representative genome	694440	2205	Methanomicrobium mobile BP	strain=BP		latest	Contig	Major	Full	2014/06/24	ASM71121v1	DOE Joint Genome Institute	GCF_000711215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000711215.1_ASM71121v1
GCA_000969985.1	PRJNA230940	SAMN03074576		na	1434109	2208	Methanosarcina barkeri str. Wiesmoor	strain=Wiesmoor		latest	Complete Genome	Major	Full	2015/04/07	ASM96998v1	University of Illinois at Urbana-Champaign	GCF_000969985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000969985.1_ASM96998v1
GCA_000970025.1	PRJNA230939	SAMN03074575		na	1434108	2208	Methanosarcina barkeri MS	strain=MS		latest	Complete Genome	Major	Full	2015/04/07	ASM97002v1	University of Illinois at Urbana-Champaign	GCF_000970025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970025.1_ASM97002v1
GCA_000970065.1	PRJNA230937	SAMN03074573		na	1434106	2208	Methanosarcina barkeri 227	strain=227		latest	Complete Genome	Major	Full	2015/04/07	ASM97006v1	University of Illinois at Urbana-Champaign	GCF_000970065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970065.1_ASM97006v1
GCA_000970305.1	PRJNA230938	SAMN03074574		na	1434107	2208	Methanosarcina barkeri 3	strain=3		latest	Complete Genome	Major	Full	2015/04/07	ASM97030v1	University of Illinois at Urbana-Champaign	GCF_000970305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970305.1_ASM97030v1
GCA_001027005.1	PRJNA49587	SAMN02866457		na	796385	2208	Methanosarcina barkeri CM1	strain=CM1		latest	Complete Genome	Major	Full	2015/06/03	ASM102700v1	PGgRc	GCF_001027005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001027005.1_ASM102700v1
GCA_000195895.1	PRJNA103	SAMN02598252		representative genome	269797	2208	Methanosarcina barkeri str. Fusaro	strain=Fusaro		latest	Complete Genome	Major	Full	2005/08/12	ASM19589v1		GCF_000195895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000195895.1_ASM19589v1
GCA_000970165.1	PRJNA230950	SAMN03074586		na	1434117	2209	Methanosarcina mazei WWM610	strain=WWM610		latest	Complete Genome	Major	Full	2015/04/07	ASM97016v1	University of Illinois at Urbana-Champaign	GCF_000970165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970165.1_ASM97016v1
GCA_000970185.1	PRJNA230948	SAMN03074584		na	1434115	2209	Methanosarcina mazei SarPi	strain=SarPi		latest	Complete Genome	Major	Full	2015/04/07	ASM97018v1	University of Illinois at Urbana-Champaign	GCF_000970185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970185.1_ASM97018v1
GCA_000970205.1	PRJNA230947	SAMN03074583		na	213585	2209	Methanosarcina mazei S-6	strain=S-6		latest	Complete Genome	Major	Full	2015/04/07	ASM97020v1	University of Illinois at Urbana-Champaign	GCF_000970205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970205.1_ASM97020v1
GCA_000970225.1	PRJNA230946	SAMN03074582		na	1434114	2209	Methanosarcina mazei LYC	strain=LYC		latest	Complete Genome	Major	Full	2015/04/07	ASM97022v1	University of Illinois at Urbana-Champaign	GCF_000970225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970225.1_ASM97022v1
GCA_000970245.1	PRJNA230945	SAMN03074581		na	1434113	2209	Methanosarcina mazei C16	strain=C16		latest	Complete Genome	Major	Full	2015/04/07	ASM97024v1	University of Illinois at Urbana-Champaign	GCF_000970245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970245.1_ASM97024v1
GCA_000978935.1	PRJNA242781	SAMN02708945	JJPF00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.5		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000978935.1_gtlEnvA5udCFS
GCA_000978965.1	PRJNA242781	SAMN02708961	JJPI00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.T.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000978965.1_gtlEnvA5udCFS
GCA_000978945.1	PRJNA242781	SAMN02708944	JJPB00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.1A.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000978945.1_gtlEnvA5udCFS
GCA_000978955.1	PRJNA242781	SAMN02708974	JJOU00000000.1	na	2209	2209	Methanosarcina mazei	strain=2.F.T.2.6		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000978955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000978955.1_gtlEnvA5udCFS
GCA_000979025.1	PRJNA242781	SAMN02708951	JJPR00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.6		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979025.1_gtlEnvA5udCFS
GCA_000979015.1	PRJNA242781	SAMN02708987	JJPO00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979015.1_gtlEnvA5udCFS
GCA_000979045.1	PRJNA242781	SAMN02708954	JJPW00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.5		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979045.1_gtlEnvA5udCFS
GCA_000979035.1	PRJNA242781	SAMN02708985	JJPU00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979035.1_gtlEnvA5udCFS
GCA_000979115.1	PRJNA242781	SAMN02708956	JJQD00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.2.8		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979115.1_gtlEnvA5udCFS
GCA_000979095.1	PRJNA242781	SAMN02708964	JJPX00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.2.7		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979095.1_gtlEnvA5udCFS
GCA_000979105.1	PRJNA242781	SAMN02708932	JJQA00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.1A.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979105.1_gtlEnvA5udCFS
GCA_000979125.1	PRJNA242781	SAMN02708967	JJQE00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.M.0.5		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979125.1_gtlEnvA5udCFS
GCA_000979175.1	PRJNA242781	SAMN02708968	JJQH00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979175.1_gtlEnvA5udCFS
GCA_000979185.1	PRJNA242781	SAMN02708935	JJQI00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.4		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979185.1_gtlEnvA5udCFS
GCA_000979195.1	PRJNA242781	SAMN02708936	JJQM00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979195.1_gtlEnvA5udCFS
GCA_000979205.1	PRJNA242781	SAMN02708937	JJQO00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.7		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979205.1_gtlEnvA5udCFS
GCA_000979255.1	PRJNA242781	SAMN02708938	JJQS00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.1A.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979255.1_gtlEnvA5udCFS
GCA_000979265.1	PRJNA242781	SAMN02708980	JJQU00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.2.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979265.1_gtlEnvA5udCFS
GCA_000979275.1	PRJNA242781	SAMN02708939	JJQV00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.2.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979275.1_gtlEnvA5udCFS
GCA_000979335.1	PRJNA242781	SAMN02708960	JJOR00000000.1	na	2209	2209	Methanosarcina mazei	strain=2.F.A.2.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979335.1_gtlEnvA5udCFS
GCA_000979345.1	PRJNA242781	SAMN02708981	JJOS00000000.1	na	2209	2209	Methanosarcina mazei	strain=2.F.A.2.4		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979345.1_gtlEnvA5udCFS
GCA_000979375.1	PRJNA242781	SAMN02708943	JJOT00000000.1	na	2209	2209	Methanosarcina mazei	strain=2.F.T.0.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979375.1_gtlEnvA5udCFS
GCA_000979505.1	PRJNA242781	SAMN02708983	JJPC00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.1B.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979505.1_gtlEnvA5udCFS
GCA_000979515.1	PRJNA242781	SAMN02708975	JJPD00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.12		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979515.1_gtlEnvA5udCFS
GCA_000979495.1	PRJNA242781	SAMN02708982	JJPA00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979495.1_gtlEnvA5udCFS
GCA_000979555.1	PRJNA242781	SAMN02708976	JJPE00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979555.1_gtlEnvA5udCFS
GCA_000979585.1	PRJNA242781	SAMN02708947	JJPH00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.7		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979585.1_gtlEnvA5udCFS
GCA_000979595.1	PRJNA242781	SAMN02708948	JJPJ00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.T.1A.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979595.1_gtlEnvA5udCFS
GCA_000979635.1	PRJNA242781	SAMN02708949	JJPK00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.T.1A.4		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979635.1_gtlEnvA5udCFS
GCA_000979575.1	PRJNA242781	SAMN02708946	JJPG00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.6		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979575.1_gtlEnvA5udCFS
GCA_000979655.1	PRJNA242781	SAMN02708984	JJPM00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979655.1_gtlEnvA5udCFS
